landmark_label,landmark_name
1,S
2,Gb
3,N
4,Rh
5,Fz-R
6,Fz-L
7,Ft-R
8,Ft-L
9,OrS-R
10,OrS-L
11,SOr-R
12,SOr-L
13,OrM-R
14,OrM-L
15,SOF-R
16,SOF-L
17,Or-R
18,Or-L
19,ION-R
20,ION-L
21,Ba
22,FMP
23,GFC-R
24,GFC-L
25,SMF-R
26,SMF-L
27,M-R
28,M-L
29,Po-R
30,Zy-R
31,J-R
32,Po-L
33,Zy-L
34,J-L
35,ANS
36,A
40,IC
41,PNS
42,GPF-R
43,GPF-L
78,MF-R
79,MF-L
80,B
81,Pg
82,Gn
83,Me
84,Cr-R
85,SIG-R
86,Cr-L
87,SIG-L
88,Co-R
89,Co-L
90,COR-R
91,COR-L
92,RMA-R
93,RP-R
94,Gos-R
95,Go-R
96,Goi-R
97,Ag-R
98,RMA-L
99,RP-L
100,Gos-L
101,Go-L
102,Goi-L
103,Ag-L
